雲	 1913
解	 1911
受	 1906
車	 1899
雖	 1894
備	 1890
玉	 1877
永	 1867
木	 1864
廢	 1862
謀	 1861
工	 1860
巴	 1859
變	 1854
科	 1850
社	 1844
保	 1843
楚	 1815
觀	 1808
_	 1801
獨	 1797
往	 1795
約	 1793
載	 1793
思	 1789
嘉	 1784
性	 1782
侍	 1779
形	 1770
許	 1769
尼	 1760
秋	 1760
威	 1755
授	 1755
機	 1750
/	 1749
愛	 1747
繼	 1747
久	 1737
身	 1729
昌	 1720
員	 1717
濟	 1717
典	 1704
魯	 1703
遠	 1701
益	 1698
湖	 1696
良	 1696
留	 1695
n	 1691
鄉	 1689
連	 1685
廷	 1682
騎	 1681
氣	 1680
兼	 1678
商	 1662
聖	 1653
御	 1651
曹	 1651
梁	 1650
星	 1649
格	 1649
委	 1645
著	 1645
詩	 1643
問	 1642
別	 1640
且	 1637
賜	 1635
求	 1627
設	 1627
鐵	 1623
足	 1621
灣	 1616
納	 1616
耳	 1613
據	 1611
舊	 1609
失	 1605
存	 1603
陸	 1593
難	 1591
面	 1587
對	 1581
視	 1577
過	 1567
副	 1562
青	 1559
近	 1557
罪	 1555
香	 1553
慶	 1551
丁	 1548
好	 1547
沙	 1545
楊	 1543
修	 1540
燕	 1535
密	 1533
引	 1528
承	 1528
深	 1524
伊	 1520
略	 1520
界	 1519
盛	 1519
幾	 1509
伐	 1502
崩	 1495
征	 1493
戶	 1492
譯	 1489
營	 1487
寶	 1479
比	 1478
召	 1477
嗣	 1476
類	 1475
姓	 1471
走	 1471
乘	 1466
延	 1465
更	 1465
空	 1465
團	 1463
勢	 1454
聯	 1447
術	 1442
陰	 1440
辭	 1438
徐	 1429
真	 1424
邊	 1421
^	 1413
曲	 1412
兄	 1408
歷	 1406
奇	 1397
米	 1397
參	 1392
莫	 1391
室	 1390
鮮	 1387
順	 1380
勒	 1379
止	 1379
致	 1379
望	 1377
老	 1373
告	 1370
務	 1368
產	 1360
:	 1358
群	 1358
刺	 1353
回	 1352
職	 1351
圍	 1349
惟	 1349
手	 1346
極	 1343
運	 1343
革	 1341
哈	 1340
服	 1339
察	 1335
貴	 1330
博	 1327
『	 1326
固	 1322
孔	 1322
轉	 1322
病	 1320
角	 1318
』	 1317
卿	 1317
洲	 1310
操	 1307
詞	 1307
喜	 1305
討	 1303
朱	 1302
火	 1302
佛	 1300
秀	 1299
追	 1299
爭	 1297
敵	 1294
波	 1293
薨	 1293
蒙	 1287
吏	 1285
尉	 1285
線	 1284
倂	 1282
猶	 1280
末	 1279
b	 1278
接	 1277
絕	 1277
富	 1271
夜	 1270
雅	 1268
資	 1263
射	 1252
壽	 1248
錄	 1244
妻	 1241
級	 1241
0	 1238
器	 1237
奏	 1233
襲	 1232
質	 1231
烏	 1230
除	 1229
每	 1228
最	 1222
己	 1219
疾	 1216
斬	 1215
賢	 1213
登	 1211
獻	 1210
尋	 1208
紅	 1206
遼	 1206
期	 1205
歌	 1204
向	 1202
花	 1201
律	 1197
誅	 1196
畫	 1195
咸	 1194
策	 1192
退	 1188
精	 1186
簡	 1182
恩	 1180
俄	 1173
兒	 1168
津	 1166
儀	 1162
才	 1159
洛	 1159
目	 1159
徒	 1158
歐	 1158
頭	 1157
玄	 1155
洋	 1154
撫	 1152
護	 1137
半	 1135
惠	 1134
執	 1130
丹	 1127
澤	 1123
遊	 1122
崇	 1117
再	 1115
敢	 1113
雄	 1110
草	 1104
悉	 1100
—	 1098
系	 1097
邑	 1094
遺	 1093
邦	 1093
塞	 1089
松	 1086
怒	 1083
積	 1083
收	 1080
︰	 1080
客	 1079
黑	 1079
疏	 1076
指	 1073
豐	 1070
象	 1070
滅	 1068
仲	 1065
懷	 1065
諡	 1065
監	 1063
要	 1061
鄭	 1061
佐	 1060
禁	 1058
奧	 1056
示	 1056
選	 1055
汝	 1050
式	 1048
被	 1046
容	 1045
c	 1044
離	 1044
隨	 1042
衣	 1041
靈	 1038
強	 1034
堂	 1031
驛	 1031
溫	 1029
農	 1025
丞	 1024
他	 1021
胡	 1021
考	 1019
果	 1016
調	 1016
量	 1016
滿	 1014
結	 1011
蜀	 1009
隆	 1009
羊	 1007
輔	 1007
顧	 1007
堅	 1005
園	 1004
夷	 1004
謝	 1004
伏	 1000
俱	 999
屯	 997
普	 997
