⺀	⿱丶丶
㓇	⿰冫⿱丿大
㓈	⿰冫石
㓉	⿰冫舌
㓊	⿰冫⿵⿵冂一口
㓋	⿰冫⿱龷八
㓌	⿰冫⿱𠆢王
㓍	⿰冫⿱𠫓儿
㓎	⿰冫⿳彐冖又
㓏	⿰冫冏
㓐	⿰冫坴
㓑	⿰冫⿱土⿱丷干
㓒	⿱⿰冫七⿱人〾心
㓓	⿰冫南
㓔	⿰冫⿰身寸
㓕	⿰冫⿵戌火
㓖	⿰冫⿻甲⿱艹二
㓗	⿰冫⿱⿰龶刀糸
㓘	⿵⿵几歹玉
㓙	⿶凵文
㓚	⿰工刂
㓛	⿰工刀
㓜	⿰幺刀
㓝	⿰井刂
㓞	⿰龶刀
㓟	⿰皮刂
㓡	⿰缶刂
㓢	⿰⿱夂口刂
㓣	⿰⿱亼口刂
㓤	⿰⿱士口刂
㓦	⿰⿱丆日刂
㓧	⿰⿱⿱⿱𠆢丶乛口刂
㓨	⿰⿻大从刂
㓩	⿰角刂
㓪	⿰⿱丶艮刀
㓫	⿰⿱大开刂
㓬	⿰⿱龹刀刂
㓭	⿰曷刂
㓮	⿰⿵用口刂
㓯	⿰甾刂
㓰	⿰⿱一⿶凵田刂
㓱	⿰⿱亼⿰月刂刂
㓲	⿰⿸户𠕁刂
㓳	⿺⿱日𤴓刂
㓴	⿰⿱而大刂
㓵	⿰⿱吅亏刂
㓶	⿰⿱⿰龶刀大刂
㓷	⿰⿱自木刂
㓹	⿸厂⿰⿱火火刂
㓺	⿰⿸虍文刂
㓻	⿰⿱罒⿱一止刂
㓼	⿰桼刂
㓽	⿰⿱山⿱宀示刂
㓾	⿰⿸⿸尸水牛刂
㓿	⿰黍刂
㔀	⿰⿱日⿳亠口小刂
㔁	⿰⿱癶豆刂
㔂	⿰粦刂
㔃	⿱⿰糹色刀
㔄	⿰⿱覀米刂
㔅	⿰⿻肀𣶒刂
㔆	⿰⿱⿰旡旡日刂
㔇	⿰⿱癶⿰弓殳刂
㔈	⿰⿱艹非刂
㔉	⿰⿸尸⿵⿻⿱丿中冂⿰一丶刂
㔊	⿰⿱⿱亠⿴囗口⿱日一刂
㔋	⿰⿱⿰臣⿱⿰丿一丶皿刂
㔌	⿰⿱⿰耳又乑刂
㔍	⿰⿱〾竹⿱目廾刂
㔎	⿱⿰⿱山𠂤辛刀
㔏	⿰⿱石⿰石石刂
㔐	⿰⿳竹一韭刂
㔑	⿱⿱艹⿰𠂤辛刀
㔒	⿰⿱⿱山隹冏刂
㔓	⿰千力
㔔	⿱⿰力口〇
㔕	⿰气力
㔗	⿰⿻弓⿰丿丨力
㔘	⿰⿱屮凵力
㔙	⿰并力
㔚	⿰舌力
㔛	⿱士⿱口力
㔜	⿰⿱爫子力
㔝	⿰⿻丅⿵冂⿰入入力
㔞	⿰⿻千北力
㔟	⿱⿰生⿵九丶力
㔠	⿰曷力
㔡	⿰⿱囟比力
㔢	⿱⿰糹色力
㔣	⿰⿱田⿰田田力
㔤	⿰⿱宀⿱釆田力
㔥	⿰⿱罒⿰〾肙⿱匕匕力
㔦	⿰⿱𦍌食力
㔧	⿰⿸⿸虍田皿力
㔨	⿹勹⿱北月
㔩	⿹勹盍
㔪	⿹勹鹵
㔫	⿸⿻丿一匕
㔬	⿱匕⿱日十
㔭	⿰匕⿱日𤴓
㔮	⿰〾堇⿰〾肙⿱匕匕
㔯	⿷匚⿱几口
㔰	⿷匚⿰夕卜
㔱	⿷匚⿻臼人
㔲	⿷匚⿰飠九
㔳	⿷匚⿰飠几
㔴	⿷匚⿱田⿱龷八
㔵	⿷匚⿱⿰巳巳⿱龷八
㔶	⿷匚⿰⿱立⿱日十⿱夂⿱工貝
㔷	⿷匸丙
㔹	⿰十力
㔻	⿱⿸丆卜十
㔼	⿱⿰扌隹十
㔿	⿸匚丨
㕁	⿰⿱乂厷卩
㕂	⿸厂⿱⿱𠆢丶乛
㕃	⿸厂开
㕄	⿸厂⿱一幺
㕅	⿸厂甲
㕆	⿸厂⿱十口
㕇	⿸厂立
㕈	⿸厂衣
㕉	⿸厂⿱亼口
㕋	⿸厂金
㕌	⿸厂⿱⿱日一寸
㕍	⿸厂隹
㕎	⿸厂盍
㕏	⿸厂⿰豆斗
㕐	⿸厂⿹⿱臼勹灬
㕑	⿸厂⿰壴寸
㕒	⿸厂⿱𦍌我
㕓	⿸厂⿱〾黑土
㕔	⿸厂⿹⿰耳⿳十罒心壬
㕕	⿱厶厶
