⺀	⿱丶丶
𢨄	⿰眷戈
𢨅	⿹⿶戓⿱亠丷王
𢨆	〾截
𢨇	〾戴
𢨈	⿰⿱⿱从从日戈
𢨉	〾矰
𢨊	〾域
𢨌	⿰⿱矛冏戈
𢨍	〾韶
𢨎	〾蠢
𢨏	⿰⿱世〾册⿻戈丿
𢨐	〾戢
𢨑	⿱臧二
𢨒	⿰童戈
𢨓	〾弑
𢨔	⿰僉戈
𢨕	⿰詹戈
𢨖	⿰⿱⿻龷口伐戈
𢨗	⿰⿱大馬戈
𢨘	⿰⿸虍隹戈
𢨙	⿹⿰晋戈火
𢨚	〾戴
𢨜	⿹戈⿱工⿰虫虫
𢨝	⿰蔡戈
𢨞	⿶〾戴⿱亠丷
𢨠	⿰篙戈
𢨡	⿰⿱禾⿰虫虫戈
𢨢	〾蠢
𢨣	〾蠢
𢨤	〾厄
𢨥	⿱一戶
𢨦	⿸户十
𢨧	⿸户二
𢨨	⿸户人
𢨩	〾厄
𢨪	⿸户巳
𢨫	⿸户土
𢨬	⿸户廾
𢨭	⿸户女
𢨮	⿸户千
𢨯	⿰户户
𢨰	⿸户父
𢨱	⿸户公
𢨲	〾房
𢨳	⿸户户
𢨴	⿸户巴
𢨵	⿰户午
𢨶	⿸户立
𢨷	〾所
𢨸	⿸户主
𢨹	⿸户⿱⿰丿一也
𢨺	⿸户卯
𢨻	〾屎
𢨼	⿸户业
𢨽	⿸户乎
𢨾	〾戾
𢨿	⿸户丙
𢩀	⿸户⿵丹丶
𢩁	〾局
𢩃	〾釉
𢩄	⿸户汁
𢩅	⿸户合
𢩆	⿸户艮
𢩇	〾所
𢩈	〾屋
𢩉	⿸户共
𢩊	⿸户光
𢩋	⿸户吉
𢩌	〾肩
𢩍	〾辜
𢩎	⿸户汨
𢩏	⿸户𦈢
𢩐	⿸户⿱今山
𢩑	⿸户夌
𢩒	⿸户肥
𢩓	⿸户幸
𢩔	⿸户亞
𢩕	⿸⿸户户戶
𢩗	⿰〾仁⿸户户
𢩘	⿸户盍
𢩙	⿰启启
𢩚	〾嗣
𢩛	⿸户貢
𢩜	⿸户族
𢩝	⿰启⿸户户
𢩞	⿱⿰户辛爪
𢩟	⿰夾扁
𢩠	⿸户睘
𢩡	⿰⿸户巳⿱六〾貌
𢩢	⿸户毚
𢩣	⿰房蓬
𢩤	⿰雇曼
𢩥	〾失
𢩧	⿰扌乙
𢩨	〾巧
𢩩	⿰扌乂
𢩪	⿰扌了
𢩫	⿰扌几
𢩬	⿰手刂
𢩭	⿰扌寸
𢩮	⿰扌弋
𢩯	⿰扌⿸了一
𢩰	⿰扌⿵几丨
𢩱	⿰扌才
𢩳	⿰扌山
𢩴	⿰扌⿻了乀
𢩵	⿰扌己
𢩷	〾托
𢩸	〾夆
𢩹	〾下
𢩺	⿰扌⿷匚一
𢩻	⿰扌么
𢩼	⿰扌幺
𢩽	⿰扌已
𢩾	⿰扌丸
𢩿	⿰扌士
𢪁	⿰扌⿱一几
𢪂	⿰扌大
𢪃	〾撤
𢪄	〾捽
𢪅	⿰扌⿱人刀
𢪆	〾扮
𢪇	⿰爿手
𢪈	⿰扌冄
𢪉	〾引
𢪊	⿰扌攴
𢪋	⿰扌丰
𢪌	⿰扌公
𢪍	⿰扌⿱小乀
𢪎	⿰扌化
𢪏	⿰扌曰
𢪐	〾承
𢪑	⿰扌旡
𢪒	⿰龵手
𢪓	〾舁
𢪔	〾抵
𢪕	⿰扌〾互
𢪖	⿰手文
𢪗	⿰扌仆
𢪘	〾掰
𢪙	⿰手⿻丆二
𢪚	⿰扌冗
𢪛	⿰扌攵
𢪝	⿰扌井
𢪞	⿰扌⿱工乙
𢪟	⿰扌〾保
𢪠	〾舂
𢪢	⿰扌⿺儿𡿨
𢪣	⿰扌⿹勹㐅
𢪤	⿰扌⿻勹乂
𢪥	⿰手勿
𢪦	⿰扌⿸厂匕
𢪧	⿰扌牛
𢪨	〾抗
𢪩	〾投
𢪪	⿰扌丐
𢪫	⿰扌爿
𢪬	⿰扌孔
𢪭	⿰扌壬
𢪮	⿰扌木
𢪯	⿰扌太
𢪰	⿰扌歹
𢪱	⿰扌勿
𢪲	⿰扌⿱匕匕
𢪳	⿰手及
𢪴	〾拼
𢪵	⿰扌疋
𢪶	〾枵
𢪷	〾相
𢪸	〾腕
𢪹	⿰扌⿻屮人
𢪺	〾拔
𢪻	〾承
𢪼	⿰扌⿵⿱丿冂又
𢪽	⿲仌丨手
𢪾	⿰扌罒
𢪿	〾辜
𢫀	⿱去手
𢫁	⿰扌氹
𢫂	⿰扌〾𣎳
𢫃	⿰扌叫
𢫄	⿰扌札
𢫅	⿺托七
𢫆	⿰扌本
𢫇	⿰扌⿱扌又
𢫈	〾拈
𢫉	⿰扌夯
𢫊	⿰扌对
𢫋	⿰扌凸
𢫌	〾拖
𢫍	⿰扌〾匆
𢫎	⿰扌〾包
𢫏	⿰扌⿱冖山
𢫐	⿰扌⿱小人
𢫑	〾拯
𢫒	〾拯
𢫓	〾努
𢫔	〾擅
𢫕	⿰扌永
𢫖	⿰扌朮
𢫗	⿰手白
𢫙	⿰扌代
𢫚	⿰扌巧
𢫛	⿰扌玉
𢫜	⿰扌⿱八上
𢫝	⿰扌冬
𢫞	⿰扌圣
𢫟	⿰扌仕
𢫠	⿰扌弘
𢫡	⿰扌孕
𢫢	⿰扌⿱丿水
𢫣	⿰扌北
𢫤	⿰扌匈
𢫥	⿰扌囟
𢫦	〾拍
𢫧	〾搊
𢫨	⿰扌戎
𢫩	⿰扌休
𢫪	〾腕
𢫫	⿰扌聿
𢫬	⿰扌杀
𢫭	〾朒
𢫮	⿰扌亙
𢫯	⿰扌伏
𢫰	⿱舛手
𢫱	⿰扌行
𢫲	⿰扌〾吟
𢫳	⿰扌⿸厂午
𢫴	⿱次手
𢫵	⿰扌早
𢫶	〾拜
𢫷	⿰扌〾厄
𢫸	⿰扌吴
𢫹	〾投
𢫺	⿰扌⿱又爪
𢫻	⿰扌丢
𢫼	⿰扌虫
𢫾	⿰扌〾旨
𢫿	⿰扌〾吝
𢬀	⿰扌扛
𢬁	⿰扌⿱公儿
𢬂	⿰扌庄
𢬃	⿰扌印
𢬄	⿰扌冰
𢬅	⿰扌尖
𢬆	⿰扌⿱𠂊丑
𢬇	⿰扌守
𢬈	⿰扌关
𢬉	⿰扌〾厄
𢬊	⿰扌米
𢬋	⿰扌⿱丸土
𢬌	⿰扌⿱一犮
𢬍	⿰扌⿸厂犬
𢬎	⿰扌亘
𢬏	〾掇
𢬐	⿰扌旭
𢬑	⿰扌曲
𢬒	⿰扌〾杳
𢬓	⿰扌舛
𢬔	⿰扌血
𢬕	〾挫
𢬖	⿰扌企
𢬗	⿰扌耒
𢬘	⿰扌色
𢬙	⿱羽手
𢬚	⿰龵吊
𢬛	⿲手人手
𢬜	⿰扌⿱⿰丿一⿸匚𡿨
𢬝	⿰扌⿱入〾土
𢬞	〾搊
𢬟	⿰扌⿱龴丑
𢬠	⿰扌⿱丶氶
𢬡	〾擦
𢬢	⿰扌吊
𢬣	⿰龵西
𢬤	⿰扌匡
𢬥	⿰扌江
𢬦	⿰扌礼
𢬧	⿰扌年
𢬨	⿰扌汝
𢬩	〾杙
𢬪	〾捽
𢬫	⿰承丁
𢬬	⿱承㔾
𢬭	⿰扌対
𢬮	⿰扌戌
𢬰	⿰扌⿱少女
𢬱	⿰扌劫
𢬲	〾荷
𢬳	⿰扌⿱禾几
𢬴	⿸⿰扌耳乚
𢬵	⿰扌弃
𢬶	⿰扌〾侵
𢬷	⿰扌㕯
𢬸	〾括
𢬹	⿰扌〾兆
𢬺	⿰扌⿰犭木
𢬻	⿰扌⿴囗丑
𢬼	⿰扌囤
𢬽	⿰扌𤰞
𢬾	⿰扌希
𢬿	⿰扌戒
𢭀	⿰扌〾漩
𢭁	⿰扌系
𢭂	⿰扌牢
𢭃	〾短
𢭄	⿰扌忌
𢭅	⿰扌⿱干火
𢭆	〾抽
𢭇	⿰扌囱
𢭈	〾扛
𢭉	〾插
𢭊	⿰扌⿱爫工
𢭋	⿱〾劫手
𢭌	⿰扌⿱夂止
𢭍	⿰扌⿱山帀
𢭎	⿰扌夅
𢭏	⿰扌寿
𢭐	⿰扌労
𢭑	⿰托尺
𢭒	⿰扌⿱义朩
𢭓	〾拶
𢭔	〾挖
𢭕	⿰扌究
𢭖	⿸护乞
𢭗	〾攘
𢭘	⿰扌⿸厂主
𢭙	⿰扌却
𢭚	⿰扌〾盈
𢭛	⿰扌⿱大丹
𢭜	⿰扌壳
𢭝	⿰扌忍
𢭞	⿰扌岑
𢭟	⿰扌助
𢭠	⿰扌⿱匕矢
𢭡	〾插
𢭢	⿰扌作
𢭣	〾插
𢭤	⿱⿰工丮手
𢭥	⿰手⿵几⿻手一
𢭦	⿰扌孝
𢭧	⿰扌⿱入出
𢭨	⿰扌〾瓦
𢭩	〾撞
𢭪	⿰扌克
𢭫	⿰扌阮
𢭬	⿰扌伴
𢭭	⿰扌灶
𢭮	⿰扌改
𢭯	⿰扌決
𢭰	⿰扌杜
𢭱	⿰扌但
𢭲	⿰扌貝
𢭳	⿰扌酉
𢭴	⿰扌快
𢭵	⿰扌努
𢭶	⿰手尾
𢭷	⿰扌⿰土文
𢭸	⿰扌序
𢭹	⿰扌吝
𢭺	⿰扌豸
𢭻	⿰扌吹
𢭼	⿰扌妙
𢭽	⿰扌沈
𢭾	⿰扌芃
𢭿	⿰扌沛
𢮀	⿰扌初
𢮁	⿰扌於
𢮂	⿰扌弦
𢮃	⿱〾利手
𢮄	⿰扌⿸户木
𢮅	〾畀
𢮆	⿰扌卑
𢮇	⿰扌毐
𢮈	〾扮
𢮉	〾峭
𢮊	⿰扌軋
𢮋	〾拯
𢮌	⿰扌⿰吉力
𢮍	⿰扌穹
𢮎	⿰扌虎
𢮏	⿰手咅
𢮐	⿰扌尚
𢮑	⿰扌录
𢮒	⿰扌阜
𢮓	〾掣
𢮔	〾搒
𢮕	〾揲
𢮖	〾捆
𢮗	〾腕
𢮘	〾腕
𢮙	〾拳
𢮚	⿰扌昊
𢮛	⿰扌叀
𢮜	⿱其手
𢮝	〾拿
𢮞	⿰扌⿱叉爪
𢮟	⿳〾五巛⿱冖手
𢮠	〾拜
𢮡	⿰扌⿱𠆢羊
𢮢	〾搊
𢮣	⿱爫〾拉
𢮤	〾把
𢮥	〾操
𢮦	⿰扌⿱亼⿻口人
𢮧	〾畀
𢮨	⿰扌叀
𢮩	⿰扌孤
𢮪	⿰扌⿱丷共
𢮫	⿰扌弩
𢮬	⿰拙小
𢮭	⿰扌具
𢮮	⿲扌〾廿彐
𢮯	⿰扌⿱亠衣
𢮰	⿰扌刻
𢮱	⿰扌宗
𢮲	⿰扌⿱𦍌几
𢮳	⿰扌雨
𢮵	⿰扌昌
𢮶	⿰扌〾族
𢮷	⿰扌芳
𢮸	⿰扌⿱占大
𢮹	⿰扌岸
𢮺	⿰扌⿱口〾兀
𢮻	⿰扌⿱艹今
𢮼	⿰扌邱
𢮽	〾搬
𢮿	⿰扌乖
𢯀	⿰扌⿻乇北
𢯁	⿰扌⿱毛灬
𢯂	⿰扌兔
𢯃	⿰⿰扌丢卩
𢯄	⿱⿰户攵手
𢯅	⿰扌坴
𢯆	⿰扌⿱戈戈
𢯇	〾揖
𢯈	⿰扌⿱屮母
𢯉	〾换
𢯊	⿰扌的
𢯋	〾斧
𢯌	⿰扌〾掰
𢯍	⿰扌刷
𢯎	⿰扌肴
𢯏	⿰扌彼
𢯐	⿰扌姑
𢯑	⿰扌怪
𢯒	⿰扌⿱艹不
𢯓	⿰扌芭
𢯔	⿰扌刮
𢯕	⿰扌宜
𢯖	⿰扌怯
𢯗	⿰扌季
𢯘	⿰扌花
𢯙	⿰扌知
𢯚	⿰扌乳
𢯛	⿰扌泣
𢯜	⿰扌⿰糹卜
𢯝	⿰扌泮
𢯞	⿰扌武
𢯟	⿰扌坦
𢯠	⿰扌波
𢯡	⿰扌育
𢯢	⿰扌所
𢯣	⿱手⿰水水
𢯤	⿰扌昂
𢯥	⿰扌芫
𢯦	⿰扌來
𢯧	⿰扌〾教
𢯨	⿰扌芾
𢯩	⿰扌則
𢯪	〾坼
𢯫	⿰扌段
𢯬	〾梗
𢯭	⿰扌⿱龹巾
𢯮	⿰扌胃
𢯯	⿰扌⿸虍巾
𢯰	⿰扌律
𢯱	⿰扌〾叟
𢯲	〾腕
𢯳	⿰扌⿴〾殍巳
𢯴	⿰扌⿱宀交
𢯵	⿰扌⿰目夬
𢯶	⿰扌室
𢯷	⿰扌韋
𢯸	⿰扌⿱癶殳
𢯹	⿰扌革
𢯺	⿰扌禹
𢯻	⿰扌兗
𢯼	⿰扌衍
𢯽	⿰扌苴
𢯾	⿰扌冒
𢯿	⿰扌苞
𢰀	⿰扌⿱艹尒
𢰁	⿰扌⿱⿻一由〾肱
𢰂	⿸折示
𢰃	〾拗
𢰄	⿰扌⿹勹車
𢰅	〾撰
𢰆	⿰扌苻
𢰇	〾挨
𢰈	⿰扌⿱⿰丿一吕
𢰉	⿰扌⿱穴允
𢰊	⿰扌⿱吅寸
𢰋	⿰扌⿴囗而
𢰌	〾扛
𢰍	⿰扌⿳亠口火
𢰎	⿰扌⿱丗井
𢰏	⿰扌〾孛
𢰐	⿰扌⿳日八寸
𢰑	〾摐
𢰒	⿰扌〾慎
𢰓	〾挪
𢰔	〾插
𢰕	⿰扌㢴
𢰖	〾拉
𢰗	⿰扌郅
𢰘	⿰扌〾思
𢰙	⿰⿰扌至寸
𢰚	⿰扌⿱⿷匚一而
𢰛	〾拜
𢰜	⿰扌⿳亠小⿸匚𡿨
𢰝	⿰扌茂
𢰞	⿱⿰民攵手
𢰟	⿰扌⿱⿰龶刀廾
𢰠	⿰扌幽
𢰡	⿰扌侯
𢰢	⿰扌首
𢰣	⿱⿰火术手
𢰤	⿰扌竒
𢰥	〾笞
𢰦	⿰扌春
𢰧	⿰扌〾旒
𢰨	⿱恆手
𢰩	⿰扌兹
𢰪	⿰扌⿱龹口
𢰫	⿰扌⿱工兆
𢰬	⿰扌⿻一隶
𢰭	⿰扌勇
𢰮	⿰扌胡
𢰰	⿰扌⿱癶丰
𢰱	⿰扌⿱癶手
𢰲	〾楣
𢰳	⿰扌要
𢰴	⿰扌故
𢰵	⿰扌⿸虍于
𢰶	⿰扌英
𢰷	⿰扌点
𢰸	⿰扌咼
𢰹	⿰扌約
𢰺	⿰扌負
𢰻	⿰扌⿱〾申丂
𢰼	⿰扌⿳𠂊大犬
𢰽	⿰扌急
𢰾	⿰扌怠
𢰿	⿲龵目手
𢱀	⿱⿰火禾手
𢱁	⿰扌⿱艹目
𢱂	〾蘖
𢱃	⿰扌科
𢱄	⿰扌⿳爫⿴㔾丶又
𢱅	〾捷
𢱆	⿰扌咨
𢱇	〾拗
𢱈	⿰扌叚
𢱉	⿰扌歪
𢱊	〾掠
𢱋	⿰扌度
𢱌	⿰扌架
𢱍	⿰扌勉
𢱎	⿰扌拜
𢱏	⿰扌訂
𢱐	⿰扌姚
𢱑	⿰扌⿱穴爪
𢱒	⿰扌美
𢱓	⿰扌洗
𢱔	⿰扌盆
𢱕	⿰扌耷
𢱖	⿰扌某
𢱗	⿰扌苦
𢱘	⿰扌彦
𢱙	⿰扌孩
𢱚	⿰扌風
𢱛	⿰扌洒
𢱜	⿰扌待
𢱝	⿰扌茁
𢱞	⿰手茁
𢱟	⿰扌蚩
𢱠	⿰扌⿻束口
𢱡	⿰扌⿱小貝
𢱢	〾索
𢱣	⿰扌脊
𢱤	⿰扌送
𢱥	⿰扌⿱帚又
𢱦	⿰扌剔
𢱧	〾批
𢱨	⿰扌紊
𢱩	⿰扌⿱鬼夂
𢱪	⿰扌⿱右冋
𢱫	⿰扌罡
𢱬	〾掬
𢱭	〾拜
𢱮	⿰扌⿱必皿
𢱰	⿰扌〾弁
𢱱	⿰扌〾宣
𢱲	〾舁
𢱳	⿰扌⿹勹〾光
𢱴	〾揲
𢱵	⿱⿲歹⿱上一又手
𢱶	⿰扌⿱〾竹心
𢱷	⿰扌⿰土〾侵
𢱸	⿰扌退
𢱹	⿰扌〾豺
𢱺	⿰扌⿱皮皮
𢱻	〾搜
𢱼	〾揖
𢱽	〾冤
𢱾	⿰扌⿱覀火
𢱿	〾扶
𢲀	〾冤
𢲁	⿰扌⿱穴瓦
𢲂	⿰扌朕
𢲃	⿰扌哲
𢲄	⿰扌⿳世冖巾
𢲅	〾掩
𢲆	⿰扌敇
𢲇	〾揆
𢲈	⿰扌屐
𢲉	⿰扌〾祭
𢲊	⿰扌荔
𢲋	⿰扌晏
𢲌	〾榭
𢲍	⿰扌⿱⿱𠂊⿱冖人月
𢲎	〾搬
𢲏	⿰扌〾看
𢲐	⿰扌師
𢲑	⿰扌笑
𢲒	⿰手扇
𢲓	〾舁
𢲔	〾扳
𢲕	〾揆
𢲖	〾挫
𢲗	⿰扌⿱罒示
𢲘	〾探
𢲙	〾依
𢲚	⿰⿰扌司台
𢲛	⿰扌徒
𢲜	⿰扌隼
𢲝	⿱純手
𢲞	⿰扌挈
𢲟	⿰扌宰
𢲠	⿰扌耽
𢲡	⿰扌拿
𢲢	⿰扌除
𢲣	⿰扌竜
𢲤	〾搞
𢲥	⿰扌針
𢲦	⿰扌⿰耳戈
𢲧	⿰扌荄
𢲨	⿰扌海
𢲩	⿰扌級
𢲪	⿰扌埋
𢲫	⿰扌馬
𢲬	⿰扌殊
𢲭	⿰扌配
𢲮	⿰扌耻
𢲯	⿰扌浹
𢲰	⿰⿰扌月旬
𢲱	⿰手冓
𢲲	⿰扌郎
𢲳	⿰扌赦
𢲴	⿱尉手
𢲵	⿰扌曹
𢲶	⿰扌⿱〾竹且
𢲷	〾拗
𢲸	⿰扌鹵
𢲹	〾笞
𢲺	⿰扌⿱〾竹尒
𢲻	⿰扌〾最
𢲼	⿰扌窒
𢲽	⿰扌〾虒
𢲾	⿰扌閉
𢲿	⿱⿱〾竹⿰工几手
𢳀	〾抹
𢳁	⿸广⿱非手
𢳂	⿰扌畢
𢳃	⿰扌焉
𢳄	⿰扌旋
𢳅	〾掣
𢳆	⿰扌敖
𢳇	〾桷
𢳈	⿱族手
𢳉	〾拘
𢳊	⿰扌埶
𢳋	⿰扌庳
𢳍	〾扦
𢳎	〾拜
𢳏	〾抽
𢳐	〾掣
𢳑	⿰扌⿱艹良
𢳒	⿰扌⿵戊⿱大女
𢳓	⿰扌〾笑
𢳔	⿱宿手
𢳕	⿰扌⿳山⿱八人月
𢳖	⿰扌〾恒
𢳗	⿰扌⿱⿸歹夂木
𢳘	⿰扌這
𢳙	⿰扌窕
𢳚	⿰扌梟
𢳛	⿰扌⿸虍且
𢳜	⿰扌徙
𢳝	〾勒
𢳞	⿰扌聃
𢳟	〾桶
𢳠	〾莽
𢳡	⿰扌〾冥
𢳢	⿰扌⿱⿲丨丨匕見
𢳣	⿰扌商
𢳤	⿰扌⿱穴衣
𢳥	⿰扌造
𢳦	⿰扌⿱穴〾派
𢳧	⿰扌康
𢳨	⿰扌〾蠢
𢳩	⿰扌⿸耂亜
𢳪	⿰扌速
𢳫	⿰扌張
𢳬	⿰扌雪
𢳭	⿰扌⿱〾卅石
𢳮	⿰⿰扌束斤
𢳯	⿰扌敕
𢳰	⿰扌⿱癶虫
𢳱	⿰扌蛋
𢳲	⿰扌⿸尸波
𢳳	⿰扌崙
𢳴	⿰⿰扌步戈
𢳵	⿰扌⿸虍𤴓
𢳶	⿰扌魚
𢳷	⿰扌⿱⿱𠂊⿱冖人皿
𢳸	⿰扌⿱爫𦈢
𢳹	⿸护甫
𢳺	⿰扌敏
𢳻	⿰扌⿱⿱爫冖犮
𢳼	⿰扌⿱必交
𢳽	⿰扌⿱利双
𢳾	⿰扌動
𢳿	〾捷
𢴀	⿰扌〾宿
𢴁	⿰扌〾堇
𢴂	⿰扌匾
𢴄	〾榻
𢴅	⿰扌毫
𢴆	〾清
𢴇	⿰扌執
𢴈	⿰扌⿱〾竹旦
𢴉	⿰扌荼
𢴊	⿰扌逐
𢴋	⿰扌終
𢴌	⿰扌問
𢴍	⿰扌寅
𢴎	⿰扌脱
𢴏	⿰扌淫
𢴐	⿰扌移
𢴑	⿰扌悉
𢴒	⿰扌烹
𢴓	⿰扌⿱不見
𢴔	⿰扌販
𢴕	⿰扌⿱⿱宀一⿱血丁
𢴖	⿰扌啓
𢴗	⿰扌淡
𢴘	⿰扌猜
𢴙	⿰扌⿰口來
𢴚	⿰扌匿
𢴛	⿱折技
𢴜	⿰扌⿱⿰⿰冫白𡿨几
𢴝	⿰手⿱艹阮
𢴞	⿰手眾
𢴟	⿰扌陳
𢴠	⿰扌⿰音戈
𢴡	⿰扌⿱⿰臣又手
𢴢	⿰扌賁
𢴣	〾增
𢴤	⿰扌棠
𢴥	⿰扌惠
𢴦	⿰扌項
𢴧	⿰扌貳
𢴨	〾摘
𢴩	⿰扌筆
𢴪	⿰扌款
𢴬	⿰扌斑
𢴭	⿱絶手
𢴮	⿰扌虚
𢴯	⿰扌⿳艹⿱土䒑口
𢴰	⿰扌幾
𢴱	⿰扌絫
𢴲	⿰扌絜
𢴳	⿱湯手
𢴴	⿰扌⿱⿰歺刂衣
𢴵	〾掞
𢴷	⿱⿰〾幸丮手
𢴸	⿱⿰坴丮手
𢴹	〾捶
𢴺	⿱厥手
𢴻	〾撒
𢴼	〾搜
𢴽	〾拜
𢴾	⿰扌悲
𢴿	〾掉
𢵀	⿰扌筍
𢵁	⿰⿰扌月匊
𢵃	⿰扌⿱⿰日日心
𢵄	〾措
𢵅	⿰扌⿰矢見
𢵆	⿰扌雲
𢵇	⿰扌⿳艹土永
𢵈	⿰扌善
𢵉	⿰扌貶
𢵊	⿰扌⿰礻豆
𢵋	⿰扌都
𢵌	⿰扌隊
𢵍	⿰扌⿱〾布木
𢵎	⿰扌⿱⿱卝⿻二丨永
𢵏	〾揃
𢵐	⿰⿰扌肩犬
𢵑	⿰扌联
𢵒	⿰扌超
𢵓	⿰扌彭
𢵔	⿰扌孱
𢵕	⿲扌〾卓牛
𢵖	⿰扌⿱⿱艹口包
𢵗	⿰扌菊
𢵘	⿰扌萄
𢵙	⿰扌棻
𢵚	⿰扌貼
𢵛	⿰扌菜
𢵜	⿰扌犇
𢵝	⿰扌猫
𢵞	⿰扌扉
𢵟	⿰扌⿱央貝
𢵠	⿱解手
𢵡	⿱欽手
𢵢	⿰扌閔
𢵣	⿰扌惡
𢵤	⿱⿰⿱日月犬手
𢵥	⿱稍手
𢵦	⿰扌短
𢵧	⿰扌間
𢵨	⿱報手
𢵩	⿰龵隊
𢵪	⿰扌斐
𢵫	〾撙
𢵬	〾撰
𢵭	⿰扌萊
𢵮	⿰扌⿱矛冏
𢵯	⿰扌買
𢵰	⿰扌給
𢵱	⿰扌開
𢵲	⿰扌⿰口彦
𢵳	⿰扌森
𢵴	⿰扌⿰止帚
𢵵	⿰扌菓
𢵶	⿰扌鈍
𢵷	⿰扌割
𢵸	⿰扌集
𢵹	⿰扌⿸疒每
𢵺	⿰扌湛
𢵻	⿰扌渚
𢵼	⿰扌越
𢵽	⿰扌疎
𢵾	⿰扌⿱爫咅
𢵿	⿱⿰⿱白方攴手
𢶀	⿰扌罪
𢶁	〾探
𢶂	⿰扌運
𢶃	⿰扌煩
𢶄	⿰扶頁
𢶅	〾揲
𢶆	〾揭
𢶇	⿰扌煢
𢶈	⿰扌⿹⿷⿴弓工工口
𢶉	⿰扌雹
𢶊	⿰扌⿱⿳宀⿻龷一八㔾
𢶋	⿰扌⿹⿶戈十呈
𢶌	⿰扌⿱〾竹沙
𢶍	⿰扌⿱天韭
𢶎	⿰扌⿰釒瓜
𢶏	⿰扌剽
𢶐	⿰扌⿸虍豆
𢶑	⿰扌裊
𢶒	⿰扌會
𢶓	⿰扌辠
𢶔	⿰扌〾曼
𢶕	⿰扌煎
𢶖	〾揄
𢶗	⿱⿰⿱出方攵手
𢶘	⿰扌⿱一進
𢶙	⿰扌毀
𢶚	⿰扌⿱馬廾
𢶛	⿰扌⿱孫廾
𢶜	⿱雍手
𢶝	〾捷
𢶞	⿰扌煞
𢶟	⿰手嵬
𢶠	〾筲
𢶡	⿱⿰⿱白方攵手
𢶣	⿰扌叠
𢶤	⿰扌靴
𢶥	⿰扌準
𢶦	⿰扌⿱夂貢
𢶧	⿰扌〾廉
𢶨	⿰扌〾煎
𢶩	⿰⿰扌春戈
𢶪	⿰扌載
𢶫	⿰扌聖
𢶬	⿰扌⿳艹⿰夕又丰
𢶭	⿰扌⿱⿱艹日包
𢶮	⿰扌⿱山馬
𢶯	⿰扌萬
𢶰	⿰扌葱
𢶱	⿰扌⿱⿰白攵木
𢶲	〾愁
𢶳	〾拼
𢶴	⿰扌慈
𢶵	⿰扌〾屈
𢶶	⿰扌意
𢶷	⿰扌解
𢶸	⿰扌稟
𢶹	⿰扌暗
𢶺	⿰扌⿱穴臽
𢶻	⿰扌⿱艹風
𢶼	⿰扌嵬
𢶽	⿰扌〾陷
𢶾	⿰扌雉
𢶿	⿰扌遁
𢷀	⿰扌愈
𢷁	⿰扌⿰月南
𢷂	⿰扌粲
𢷃	⿰扌⿵門市
𢷄	⿰扌滅
𢷅	⿰扌路
𢷆	〾擅
𢷇	⿰扌〾爽
𢷈	〾窟
𢷉	⿰扌⿱立⿰毛毛
𢷊	〾燧
𢷋	⿰摽寸
𢷌	⿰扌⿱〾蠹木
𢷍	⿰扌⿱⿳爫工彐心
𢷎	〾拜
𢷏	⿰扌僕
𢷐	⿰扌⿳十冖⿳田厶龰
𢷑	⿰扌㬎
𢷒	〾揭
𢷓	⿰扌赫
𢷔	〾揭
𢷕	⿰扌貌
𢷖	⿰扌⿱〾絣〾絣
𢷗	⿰扌聚
𢷘	⿰扌搴
𢷙	〾箜
𢷚	⿰〾拯刂
𢷛	⿰扌⿱雨⿰夂夂
𢷜	⿰扌⿱束束
𢷝	⿰扌⿱〾朋心
𢷞	⿰扌蓋
𢷟	⿰扌疐
𢷠	⿰扌熏
𢷡	⿰扌⿱⿰丙丙木
𢷢	⿰扌鄣
𢷣	⿰扌與
𢷤	⿰扌賔
𢷥	⿰扌⿳米丗夫
𢷦	⿰扌⿰車車
𢷧	⿰扌頗
𢷨	⿰扌⿱合⿰龵手
𢷩	⿰扌筵
𢷪	⿰扌魁
𢷫	⿰扌遙
𢷭	⿰扌⿱馬⿸匚𡿨
𢷮	⿰扌對
𢷯	⿰扌⿱區大
𢷰	⿰扌輕
𢷱	⿰扌⿸广婁
𢷲	⿰扌⿶⿳𦥑一八月
𢷳	⿰扌敻
𢷴	⿰扌匱
𢷵	〾舞
𢷶	⿰扌劉
𢷷	⿰扌箸
𢷸	⿰扌徵
𢷹	⿰扌廛
𢷺	⿰扌賣
𢷻	⿰扌緣
𢷼	〾搓
𢷽	⿰扌⿱既朩
𢷾	⿰扌慼
𢷿	⿰扌〾截
𢸀	⿰扌隷
𢸁	⿱興手
𢸂	⿰扌〾熛
𢸃	〾擐
𢸄	〾揃
𢸅	〾攀
𢸆	〾摹
𢸇	⿱罷手
𢸈	〾摘
𢸉	⿰扌⿸虍⿱⿰日日一
𢸊	⿰扌⿸厂〾浥
𢸋	⿰扌⿺走尚
𢸌	⿰扌⿱邦帛
𢸍	⿰扌震
𢸎	⿰扌寬
𢸏	⿰扌⿱龹軍
𢸐	⿰扌⿸户鳥
𢸑	〾摘
𢸒	⿰扌賢
𢸓	⿰扌暮
𢸔	⿰扌盤
𢸕	⿰扌⿳〾竹⿰夕又丰
𢸖	⿰扌⿱瓜⿰瓜瓜
𢸗	⿰扌虢
𢸘	⿰扌寮
𢸙	⿰扌審
𢸚	⿰扌蓬
𢸛	⿰扌調
𢸜	⿰扌鄰
