⺂	乛
㟭	岷
㟲	㟶
㟴	磈
㟼	嶅
㟿	㟐
㠂	嶅
㠄	嶍
㠋	崿
㠌	崎
㠍	㠎
㠑	嶊
㠒	㟽
㠕	嵬
㠗	岙
㠙	崤
㠜	嶷
㠝	巑
㠪	巨
㠫	巭
㠬	巭
㠮	肛
㠶	帆
㠸	衭
㠻	希
㡃	㡛
㡆	㡛
㡊	帢
㡌	帽
㡑	幧
㡟	褿
㡢	幔
㡪	𢅼
㡫	𤣨
㡯	度
㡰	宇
㡱	灸
㡸	厏
㡻	寥
㡾	限
㢁	㢋
㢅	弄
㢇	薝
㢏	逾
㢐	屙
㢓	瘴
㢕	廱
㢘	廉
㢠	迥
㢦	𢎄
㢧	卷
㢪	弙
㢮	弛
㢯	弴
㢱	旀
㢳	玈
㢴	西
㢵	韘
㢶	弼
㢺	弦
㣉	工
㣊	修
㣋	丹
㣑	容
㣘	跔
㣠	佟
㣥	偫
㣧	胤
㣲	微
㣺	心
㣼	忍
㤀	忘
㤁	忝
㤂	急
㤇	懊
㤊	恔
㤌	甘
㤐	怗
㤓	笨
㤘	㥮
㤙	恩
㤟	憸
㤡	㤠
㤢	惰
㤣	恲
㤤	㥚
㤩	恪
㤪	怨
㤫	德
㤬	恚
㤭	憍
㤰	怍
㤱	𢠲
㤵	慈
㤹	𢛃
㤼	怯
㥀	德
㥁	德
㥉	𢜳
㥊	怦
㥋	偯
㥍	惎
㥎	悡
㥐	延
㥗	悛
㥘	怯
㥝	弭
㥪	慺
㥫	惇
㥭	忲
㥱	悱
㥲	嗔
㥵	慁
㥺	熆
㦂	常
㦄	𩔶
㦈	𢣏
㦉	懿
㦑	憨
㦓	㒄
㦗	𢙿
㦘	憿
㦞	懤
㦤	懿
㦥	愋
㦩	㥯
㦯	或
㦱	我
㦷	勇
㦸	戟
㦽	彧
㦾	扅
㧈	引
㧌	芼
㧍	仿
㧑	撝
㧙	柲
㧝	拁
㧞	拔
㧠	擟
㧢	因
㧧	梳
㧨	扏
㧰	擽
㧱	拿
㧵	抔
㧻	椓
㧼	俵
㧽	稒
㧿	摐
㨋	擆
㨍	帮
㨎	擩
㨒	刲
㨔	撼
㨕	攍
㨗	捷
㨘	擤
㨤	㧟
㨨	抽
㨩	捷
㨪	晃
㨲	㩍
㨴	建
㨵	揃
㨹	㩨
㨼	掠
㨽	副
㩂	槲
㩅	抽
㩉	拉
㩊	揎
㩐	扽
㩑	𢶍
㩒	擒
㩕	拎
㩗	携
㩙	塞
㩞	㩍
㩦	携
㩪	撷
㩫	櫍
㩮	攑
㩲	拳
㩴	攫
㩵	擜
㩸	㩹
㩺	披
㩽	𢺷
㪂	㩿
㪅	更
㪉	合
㪌	捅
㪚	散
㪞	𢯾
㪟	敦
㪣	敲
㪥	抯
㪩	㩋
㪶	斛
㪸	斟
㪽	所
㪾	㓢
㫀	鼎
㫅	旗
㫊	旖
㫌	旌
㫍	㫏
㫐	杳
㫔	艮
㫖	旨
㫗	厚
㫞	㫦
㫢	胠
㫩	春
㫪	舂
㫰	朗
㫳	晨
㫴	𥆔
㫷	期
㫼	晢
㫿	睢
㬁	𣆗
㬅	曼
㬆	涽
㬉	暖
㬕	𣉚
㬛	晞
㬞	暍
㬡	昤
㬢	曦
㬬	曜
㬭	皭
㬰	臾
㬱	替
㬷	䐃
㬺	幐
㭅	杉
㭉	苶
㭊	析
㭋	棒
㭍	柒
㭎	棡
㭏	椲
㭒	耜
㭝	𣓕
㭟	拲
㭣	𣙎
㭧	楠
㭨	椰
㭭	朳
㭱	匣
㭴	樫
㭸	梌
㭹	㡉
㭻	棠
㮄	榜
㮋	栯
㮌	棉
㮎	杯
㮓	亘
㮔	橦
㮕	檽
㮚	栗
㮛	椸
㮞	楶
㮠	𣞁
㮡	爟
㮥	軬
㮫	𥴭
㮳	𣏖
㮴	艘
㮺	本
㮼	扇
㮾	樃
㯇	梐
㯈	樕
㯏	馨
㯓	榻
㯘	梡
㯚	榙
㯟	麓
㯢	栚
㯣	棻
㯥	曹
㯦	棋
